"";"SourceFile";"FileName";"DateTimeOriginal";"GPSTimeStamp";"GPSDateTime"
"124";"All_Photos/GSAH1123.JPG";"GSAH1123.JPG";"2022:02:16 14:35:40";"22:33:50";"2022:02:16 22:33:50Z"
"125";"All_Photos/GSAH1124.JPG";"GSAH1124.JPG";"2022:02:16 14:35:42";"22:33:52";"2022:02:16 22:33:52Z"
"126";"All_Photos/GSAH1125.JPG";"GSAH1125.JPG";"2022:02:16 14:35:44";"22:33:54";"2022:02:16 22:33:54Z"
"127";"All_Photos/GSAH1126.JPG";"GSAH1126.JPG";"2022:02:16 14:35:46";"22:33:56";"2022:02:16 22:33:56Z"
"128";"All_Photos/GSAH1127.JPG";"GSAH1127.JPG";"2022:02:16 14:35:48";"22:33:58";"2022:02:16 22:33:58Z"
"129";"All_Photos/GSAH1128.JPG";"GSAH1128.JPG";"2022:02:16 14:35:50";"22:34:00";"2022:02:16 22:34:00Z"
"130";"All_Photos/GSAH1129.JPG";"GSAH1129.JPG";"2022:02:16 14:35:52";"22:34:02";"2022:02:16 22:34:02Z"
"131";"All_Photos/GSAH1130.JPG";"GSAH1130.JPG";"2022:02:16 14:35:54";"22:34:04";"2022:02:16 22:34:04Z"
"132";"All_Photos/GSAH1131.JPG";"GSAH1131.JPG";"2022:02:16 14:35:56";"22:34:06";"2022:02:16 22:34:06Z"
"133";"All_Photos/GSAH1132.JPG";"GSAH1132.JPG";"2022:02:16 14:35:58";"22:34:08";"2022:02:16 22:34:08Z"
"134";"All_Photos/GSAH1133.JPG";"GSAH1133.JPG";"2022:02:16 14:36:00";"22:34:10";"2022:02:16 22:34:10Z"
"135";"All_Photos/GSAH1134.JPG";"GSAH1134.JPG";"2022:02:16 14:36:02";"22:34:12";"2022:02:16 22:34:12Z"
"136";"All_Photos/GSAH1135.JPG";"GSAH1135.JPG";"2022:02:16 14:36:04";"22:34:14";"2022:02:16 22:34:14Z"
"137";"All_Photos/GSAH1136.JPG";"GSAH1136.JPG";"2022:02:16 14:36:06";"22:34:16";"2022:02:16 22:34:16Z"
"138";"All_Photos/GSAH1137.JPG";"GSAH1137.JPG";"2022:02:16 14:36:08";"22:34:18";"2022:02:16 22:34:18Z"
"139";"All_Photos/GSAH1138.JPG";"GSAH1138.JPG";"2022:02:16 14:36:10";"22:34:20";"2022:02:16 22:34:20Z"
"140";"All_Photos/GSAH1139.JPG";"GSAH1139.JPG";"2022:02:16 14:36:12";"22:34:22";"2022:02:16 22:34:22Z"
"141";"All_Photos/GSAH1140.JPG";"GSAH1140.JPG";"2022:02:16 14:36:14";"22:34:24";"2022:02:16 22:34:24Z"
"142";"All_Photos/GSAH1141.JPG";"GSAH1141.JPG";"2022:02:16 14:36:16";"22:34:26";"2022:02:16 22:34:26Z"
"143";"All_Photos/GSAH1142.JPG";"GSAH1142.JPG";"2022:02:16 14:36:18";"22:34:28";"2022:02:16 22:34:28Z"
"144";"All_Photos/GSAH1143.JPG";"GSAH1143.JPG";"2022:02:16 14:36:20";"22:34:30";"2022:02:16 22:34:30Z"
"145";"All_Photos/GSAH1144.JPG";"GSAH1144.JPG";"2022:02:16 14:36:22";"22:34:32";"2022:02:16 22:34:32Z"
"146";"All_Photos/GSAH1145.JPG";"GSAH1145.JPG";"2022:02:16 14:36:24";"22:34:34";"2022:02:16 22:34:34Z"
"147";"All_Photos/GSAH1146.JPG";"GSAH1146.JPG";"2022:02:16 14:36:26";"22:34:36";"2022:02:16 22:34:36Z"
"148";"All_Photos/GSAH1147.JPG";"GSAH1147.JPG";"2022:02:16 14:36:28";"22:34:38";"2022:02:16 22:34:38Z"
"149";"All_Photos/GSAH1148.JPG";"GSAH1148.JPG";"2022:02:16 14:36:30";"22:34:40";"2022:02:16 22:34:40Z"
"150";"All_Photos/GSAH1149.JPG";"GSAH1149.JPG";"2022:02:16 14:36:32";"22:34:42";"2022:02:16 22:34:42Z"
"151";"All_Photos/GSAH1150.JPG";"GSAH1150.JPG";"2022:02:16 14:36:34";"22:34:44";"2022:02:16 22:34:44Z"
"152";"All_Photos/GSAH1151.JPG";"GSAH1151.JPG";"2022:02:16 14:36:36";"22:34:46";"2022:02:16 22:34:46Z"
"153";"All_Photos/GSAH1152.JPG";"GSAH1152.JPG";"2022:02:16 14:36:38";"22:34:48";"2022:02:16 22:34:48Z"
"154";"All_Photos/GSAH1153.JPG";"GSAH1153.JPG";"2022:02:16 14:36:40";"22:34:50";"2022:02:16 22:34:50Z"
"155";"All_Photos/GSAH1154.JPG";"GSAH1154.JPG";"2022:02:16 14:36:42";"22:34:52";"2022:02:16 22:34:52Z"
"156";"All_Photos/GSAH1155.JPG";"GSAH1155.JPG";"2022:02:16 14:36:44";"22:34:54";"2022:02:16 22:34:54Z"
"157";"All_Photos/GSAH1156.JPG";"GSAH1156.JPG";"2022:02:16 14:36:46";"22:34:56";"2022:02:16 22:34:56Z"
"158";"All_Photos/GSAH1157.JPG";"GSAH1157.JPG";"2022:02:16 14:36:48";"22:34:58";"2022:02:16 22:34:58Z"
"159";"All_Photos/GSAH1158.JPG";"GSAH1158.JPG";"2022:02:16 14:36:50";"22:35:00";"2022:02:16 22:35:00Z"
"160";"All_Photos/GSAH1159.JPG";"GSAH1159.JPG";"2022:02:16 14:36:52";"22:35:02";"2022:02:16 22:35:02Z"
"161";"All_Photos/GSAH1160.JPG";"GSAH1160.JPG";"2022:02:16 14:36:54";"22:35:04";"2022:02:16 22:35:04Z"
"162";"All_Photos/GSAH1161.JPG";"GSAH1161.JPG";"2022:02:16 14:36:56";"22:35:06";"2022:02:16 22:35:06Z"
"163";"All_Photos/GSAH1162.JPG";"GSAH1162.JPG";"2022:02:16 14:36:58";"22:35:08";"2022:02:16 22:35:08Z"
"164";"All_Photos/GSAH1163.JPG";"GSAH1163.JPG";"2022:02:16 14:37:00";"22:35:10";"2022:02:16 22:35:10Z"
"165";"All_Photos/GSAH1164.JPG";"GSAH1164.JPG";"2022:02:16 14:37:02";"22:35:12";"2022:02:16 22:35:12Z"
"166";"All_Photos/GSAH1165.JPG";"GSAH1165.JPG";"2022:02:16 14:37:04";"22:35:14";"2022:02:16 22:35:14Z"
"167";"All_Photos/GSAH1166.JPG";"GSAH1166.JPG";"2022:02:16 14:37:06";"22:35:16";"2022:02:16 22:35:16Z"
"168";"All_Photos/GSAH1167.JPG";"GSAH1167.JPG";"2022:02:16 14:37:08";"22:35:18";"2022:02:16 22:35:18Z"
"169";"All_Photos/GSAH1168.JPG";"GSAH1168.JPG";"2022:02:16 14:37:10";"22:35:20";"2022:02:16 22:35:20Z"
"170";"All_Photos/GSAH1169.JPG";"GSAH1169.JPG";"2022:02:16 14:37:12";"22:35:22";"2022:02:16 22:35:22Z"
"171";"All_Photos/GSAH1170.JPG";"GSAH1170.JPG";"2022:02:16 14:37:14";"22:35:24";"2022:02:16 22:35:24Z"
"172";"All_Photos/GSAH1171.JPG";"GSAH1171.JPG";"2022:02:16 14:37:16";"22:35:26";"2022:02:16 22:35:26Z"
"173";"All_Photos/GSAH1172.JPG";"GSAH1172.JPG";"2022:02:16 14:37:18";"22:35:28";"2022:02:16 22:35:28Z"
"174";"All_Photos/GSAH1173.JPG";"GSAH1173.JPG";"2022:02:16 14:37:20";"22:35:30";"2022:02:16 22:35:30Z"
"175";"All_Photos/GSAH1174.JPG";"GSAH1174.JPG";"2022:02:16 14:37:22";"22:35:32";"2022:02:16 22:35:32Z"
"176";"All_Photos/GSAH1175.JPG";"GSAH1175.JPG";"2022:02:16 14:37:24";"22:35:34";"2022:02:16 22:35:34Z"
"177";"All_Photos/GSAH1176.JPG";"GSAH1176.JPG";"2022:02:16 14:37:26";"22:35:36";"2022:02:16 22:35:36Z"
"178";"All_Photos/GSAH1177.JPG";"GSAH1177.JPG";"2022:02:16 14:37:28";"22:35:38";"2022:02:16 22:35:38Z"
"179";"All_Photos/GSAH1178.JPG";"GSAH1178.JPG";"2022:02:16 14:37:30";"22:35:40";"2022:02:16 22:35:40Z"
"180";"All_Photos/GSAH1179.JPG";"GSAH1179.JPG";"2022:02:16 14:37:32";"22:35:42";"2022:02:16 22:35:42Z"
"181";"All_Photos/GSAH1180.JPG";"GSAH1180.JPG";"2022:02:16 14:37:34";"22:35:44";"2022:02:16 22:35:44Z"
"182";"All_Photos/GSAH1181.JPG";"GSAH1181.JPG";"2022:02:16 14:37:36";"22:35:46";"2022:02:16 22:35:46Z"
"183";"All_Photos/GSAH1182.JPG";"GSAH1182.JPG";"2022:02:16 14:37:38";"22:35:48";"2022:02:16 22:35:48Z"
"184";"All_Photos/GSAH1183.JPG";"GSAH1183.JPG";"2022:02:16 14:37:40";"22:35:50";"2022:02:16 22:35:50Z"
"185";"All_Photos/GSAH1184.JPG";"GSAH1184.JPG";"2022:02:16 14:37:42";"22:35:52";"2022:02:16 22:35:52Z"
"186";"All_Photos/GSAH1185.JPG";"GSAH1185.JPG";"2022:02:16 14:37:44";"22:35:54";"2022:02:16 22:35:54Z"
"187";"All_Photos/GSAH1186.JPG";"GSAH1186.JPG";"2022:02:16 14:37:46";"22:35:56";"2022:02:16 22:35:56Z"
"188";"All_Photos/GSAH1187.JPG";"GSAH1187.JPG";"2022:02:16 14:37:48";"22:35:58";"2022:02:16 22:35:58Z"
"189";"All_Photos/GSAH1188.JPG";"GSAH1188.JPG";"2022:02:16 14:37:50";"22:36:00";"2022:02:16 22:36:00Z"
"190";"All_Photos/GSAH1189.JPG";"GSAH1189.JPG";"2022:02:16 14:37:52";"22:36:02";"2022:02:16 22:36:02Z"
"191";"All_Photos/GSAH1190.JPG";"GSAH1190.JPG";"2022:02:16 14:37:54";"22:36:04";"2022:02:16 22:36:04Z"
"192";"All_Photos/GSAH1191.JPG";"GSAH1191.JPG";"2022:02:16 14:37:56";"22:36:06";"2022:02:16 22:36:06Z"
"193";"All_Photos/GSAH1192.JPG";"GSAH1192.JPG";"2022:02:16 14:37:58";"22:36:08";"2022:02:16 22:36:08Z"
"194";"All_Photos/GSAH1193.JPG";"GSAH1193.JPG";"2022:02:16 14:38:00";"22:36:10";"2022:02:16 22:36:10Z"
"195";"All_Photos/GSAH1194.JPG";"GSAH1194.JPG";"2022:02:16 14:38:02";"22:36:12";"2022:02:16 22:36:12Z"
